Nielsen SKU Name,Year,PPG Name,Retailer,DATE,Level,Activity name,Mechanic,"Discount, NRV %",Weeknum,TE Off Inv,TE On Inv,COGS,PPG,List Price Nov 2019 Price per PC,List Price July 2020 Price per PC,List_Price,ROI
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021.0,A.Korkunov 110g,Lenta,2021-02-14,NA,21_SPRING MULTIBRAND_21_SPRING MULTIBRAND_21_SPRING MULTIBRAND,['Single price off % discount'],0.2,7,0.05,0.1993,83.85714285714285,A.Korkunov 110g,168.43,168.43,168.43,1.3472237165302
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021.0,A.Korkunov 110g,Lenta,2021-02-21,NA,21_SPRING MULTIBRAND_21_SPRING MULTIBRAND_21_SPRING MULTIBRAND,['Single price off % discount'],0.2,8,0.05,0.1993,83.85714285714285,A.Korkunov 110g,168.43,168.43,168.43,1.3472237165302
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021.0,A.Korkunov 110g,Lenta,2021-02-28,NA,21_SPRING MULTIBRAND_21_SPRING MULTIBRAND_21_SPRING MULTIBRAND,['Single price off % discount'],0.2,9,0.05,0.1993,83.85714285714285,A.Korkunov 110g,168.43,168.43,168.43,1.3472237165302
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021.0,A.Korkunov 110g,Lenta,2021-04-25,NA,Customized Promo_Customized Promo_Customized Promo,['Single price off % discount'],0.1,17,0.05,0.1993,83.85714285714285,A.Korkunov 110g,168.43,168.43,168.43,3.49669202555492
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021.0,A.Korkunov 110g,Lenta,2021-05-02,NA,Customized Promo_Customized Promo_Customized Promo,['Single price off % discount'],0.1,18,0.05,0.1993,83.85714285714285,A.Korkunov 110g,168.43,168.43,168.43,3.49669202555492
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021.0,A.Korkunov 110g,Lenta,2021-05-09,NA,Customized Promo_Customized Promo_Customized Promo,['Single price off % discount'],0.1,19,0.05,0.1993,83.85714285714285,A.Korkunov 110g,168.43,168.43,168.43,3.49669202555492
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021.0,A.Korkunov 110g,Lenta,2021-06-20,NA,Customized Promo_Customized Promo_Customized Promo,['Single price off % discount'],0.1,25,0.05,0.1993,83.85714285714285,A.Korkunov 110g,168.43,168.43,168.43,3.5472074280804
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021.0,A.Korkunov 110g,Lenta,2021-06-27,NA,Customized Promo_Customized Promo_Customized Promo,['Single price off % discount'],0.1,26,0.05,0.1993,83.85714285714285,A.Korkunov 110g,168.43,168.43,168.43,3.5472074280804
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021.0,A.Korkunov 110g,Lenta,2021-07-04,NA,Customized Promo_Customized Promo_Customized Promo,['Single price off % discount'],0.1,27,0.05,0.1993,83.85714285714285,A.Korkunov 110g,168.43,168.43,168.43,3.5472074280804
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021.0,A.Korkunov 110g,Lenta,2021-08-29,NA,21_TEACHER'S DAY_21_TEACHER'S DAY_21_TEACHER'S DAY,['Single price off % discount'],0.2,35,0.05,0.1993,83.85714285714285,A.Korkunov 110g,168.43,168.43,168.43,1.36965181125381
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021.0,A.Korkunov 110g,Lenta,2021-09-05,NA,21_TEACHER'S DAY_21_TEACHER'S DAY_21_TEACHER'S DAY,['Single price off % discount'],0.2,36,0.05,0.1993,83.85714285714285,A.Korkunov 110g,168.43,168.43,168.43,1.36965181125381
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021.0,A.Korkunov 110g,Lenta,2021-09-12,NA,21_TEACHER'S DAY_21_TEACHER'S DAY_21_TEACHER'S DAY,['Single price off % discount'],0.2,37,0.05,0.1993,83.85714285714285,A.Korkunov 110g,168.43,168.43,168.43,1.36965181125381
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021.0,A.Korkunov 110g,Lenta,2021-09-19,NA,21_TEACHER'S DAY_21_TEACHER'S DAY_21_TEACHER'S DAY,['Single price off % discount'],0.2,38,0.05,0.1993,83.85714285714285,A.Korkunov 110g,168.43,168.43,168.43,1.36965181125381
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021.0,A.Korkunov 110g,Lenta,2021-09-26,NA,21_TEACHER'S DAY_21_TEACHER'S DAY_21_TEACHER'S DAY,['Single price off % discount'],0.2,39,0.05,0.1993,83.85714285714285,A.Korkunov 110g,168.43,168.43,168.43,1.36965181125381
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021.0,A.Korkunov 110g,Lenta,2021-11-21,NA,21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND,['Single price off % discount'],0.2,47,0.05,0.1993,83.85714285714285,A.Korkunov 110g,168.43,168.43,168.43,1.34437899460602
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021.0,A.Korkunov 110g,Lenta,2021-11-28,NA,21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND,['Single price off % discount'],0.2,48,0.05,0.1993,83.85714285714285,A.Korkunov 110g,168.43,168.43,168.43,1.34437899460602
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021.0,A.Korkunov 110g,Lenta,2021-12-05,NA,21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND,['Single price off % discount'],0.2,49,0.05,0.1993,83.85714285714285,A.Korkunov 110g,168.43,168.43,168.43,1.34437899460602
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-01-03,NA,New Year Multibrand_New Year Multibrand,['Single price off % discount'],0.27,1,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-02-14,NA,[Unknown]_[Unknown]_[Unknown]_[Unknown],['Single price off % discount'],0.15,7,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,1.52869781252311
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-02-21,NA,[Unknown]_[Unknown]_[Unknown]_[Unknown],['Single price off % discount'],0.15,8,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,1.52869781252311
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-02-28,NA,[Unknown]_[Unknown]_[Unknown]_[Unknown]_[Unknown]_[Unknown]_[Unknown]_[Unknown],['Single price off % discount'],0.25,9,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,1.52869781252311
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-03-07,NA,[Unknown]_[Unknown]_[Unknown]_[Unknown],['Single price off % discount'],0.25,10,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,1.30178188051812
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-03-14,NA,[Unknown]_[Unknown]_[Unknown]_[Unknown],['Single price off % discount'],0.25,11,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,1.30178188051812
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-04-25,NA,Customized Promo_Customized Promo_Customized Promo_Customized Promo,['Single price off % discount'],0.1,17,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,0.598636869681121
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-05-02,NA,Customized Promo_Customized Promo_Customized Promo_Customized Promo,['Single price off % discount'],0.1,18,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,0.598636869681121
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-05-09,NA,Customized Promo_Customized Promo_Customized Promo_Customized Promo,['Single price off % discount'],0.1,19,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,0.598636869681121
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-06-20,NA,Customized Promo_Customized Promo_Customized Promo_Customized Promo,['Single price off % discount'],0.1,25,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,0.581485463385288
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-06-27,NA,Customized Promo_Customized Promo_Customized Promo_Customized Promo,['Single price off % discount'],0.1,26,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,0.581485463385288
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-07-04,NA,Customized Promo_Customized Promo_Customized Promo_Customized Promo,['Single price off % discount'],0.1,27,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,0.581485463385288
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-08-15,NA,21_B2S MULTIBRAND_21_B2S MULTIBRAND_21_B2S MULTIBRAND_21_B2S MULTIBRAND,['Single price off % discount'],0.2,33,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,1.42580071645877
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-08-22,NA,21_B2S MULTIBRAND_21_B2S MULTIBRAND_21_B2S MULTIBRAND_21_B2S MULTIBRAND,['Single price off % discount'],0.2,34,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,1.42580071645877
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-08-29,NA,21_B2S MULTIBRAND_21_B2S MULTIBRAND_21_B2S MULTIBRAND_21_B2S MULTIBRAND,['Single price off % discount'],0.2,35,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,1.42580071645877
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-11-07,NA,21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND,['Single price off % discount'],0.15,45,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,1.54176339165355
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-11-14,NA,21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND,['Single price off % discount'],0.15,46,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,1.54176339165355
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-11-21,NA,21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND,['Single price off % discount'],0.15,47,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,1.54176339165355
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-11-28,NA,21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND,['Single price off % discount'],0.15,48,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,1.50683857839841
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-12-05,NA,21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND,['Single price off % discount'],0.25,49,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,1.50683857839841
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-12-12,NA,21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND,['Single price off % discount'],0.25,50,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,1.29310770763644
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-12-19,NA,21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND,['Single price off % discount'],0.25,51,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,1.29310770763644
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021.0,A.Korkunov 192g,Lenta,2021-12-26,NA,21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND,['Single price off % discount'],0.25,52,0.05,0.1993,120.92499999999998,A.Korkunov 192g,276.96,276.96,276.96,1.29310770763644
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021.0,Big Bars,Lenta,2021-03-14,NA,"21_Snickers EBA, Nut Butter +BBP#1_21_Snickers EBA, Nut Butter +BBP#1_21_Snickers EBA, Nut Butter +BBP#1_21_Snickers EBA, Nut Butter +BBP#1_21_Snickers EBA, Nut Butter +BBP#1",['Single price off % discount'],0.15,11,0.05,0.1993,14.453080357142856,Big Bars,37.7,40.08,40.08,1.75266358537179
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021.0,Big Bars,Lenta,2021-03-21,NA,"21_Snickers EBA, Nut Butter +BBP#1_21_Snickers EBA, Nut Butter +BBP#1_21_Snickers EBA, Nut Butter +BBP#1_21_Snickers EBA, Nut Butter +BBP#1_21_Snickers EBA, Nut Butter +BBP#1",['Single price off % discount'],0.15,12,0.05,0.1993,14.453080357142856,Big Bars,37.7,40.08,40.08,1.75266358537179
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021.0,Big Bars,Lenta,2021-03-28,NA,"21_Snickers EBA, Nut Butter +BBP#1_21_Snickers EBA, Nut Butter +BBP#1_21_Snickers EBA, Nut Butter +BBP#1_21_Snickers EBA, Nut Butter +BBP#1_21_Snickers EBA, Nut Butter +BBP#1",['Single price off % discount'],0.15,13,0.05,0.1993,14.453080357142856,Big Bars,37.7,40.08,40.08,1.75266358537179
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021.0,Big Bars,Lenta,2021-08-29,NA,21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2,['Single price off % discount'],0.15,35,0.05,0.1993,14.453080357142856,Big Bars,37.7,40.08,40.08,1.76286390920705
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021.0,Big Bars,Lenta,2021-09-05,NA,21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2,['Single price off % discount'],0.15,36,0.05,0.1993,14.453080357142856,Big Bars,37.7,40.08,40.08,1.76286390920705
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021.0,Big Bars,Lenta,2021-09-12,NA,21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2,['Single price off % discount'],0.15,37,0.05,0.1993,14.453080357142856,Big Bars,37.7,40.08,40.08,1.76286390920705
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021.0,Big Bars,Lenta,2021-09-19,NA,21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2,['Single price off % discount'],0.15,38,0.05,0.1993,14.453080357142856,Big Bars,37.7,40.08,40.08,1.76286390920705
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021.0,Big Bars,Lenta,2021-09-26,NA,21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2,['Single price off % discount'],0.15,39,0.05,0.1993,14.453080357142856,Big Bars,37.7,40.08,40.08,1.76286390920705
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021.0,Big Bars,Lenta,2021-10-24,NA,21_Snickers EBA + BBP#3_21_Snickers EBA + BBP#3_21_Snickers EBA + BBP#3_21_Snickers EBA + BBP#3,['Single price off % discount'],0.15,43,0.05,0.1993,14.453080357142856,Big Bars,37.7,40.08,40.08,1.80850314183645
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021.0,Big Bars,Lenta,2021-10-31,NA,21_Snickers EBA + BBP#3_21_Snickers EBA + BBP#3_21_Snickers EBA + BBP#3_21_Snickers EBA + BBP#3,['Single price off % discount'],0.15,44,0.05,0.1993,14.453080357142856,Big Bars,37.7,40.08,40.08,1.80850314183645
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021.0,Big Bars,Lenta,2021-11-07,NA,21_Snickers EBA + BBP#3_21_Snickers EBA + BBP#3_21_Snickers EBA + BBP#3_21_Snickers EBA + BBP#3,['Single price off % discount'],0.15,45,0.05,0.1993,14.453080357142856,Big Bars,37.7,40.08,40.08,1.80850314183645
